sample,logLi,logAl,logTi,logV,logCr,logMn,logNi,logGe,logAs,logRb,logSr,logMo,logCs,logBa,logW,logU,logBe,logCo,logGa,logRu,logRh,logIr,logAu,logBi,logTe
BGW,4.394449155,0.029558802,2.32238772,-1.203972804,-0.430782916,3.610917913,3.713572067,-1.832581464,-1.660731207,1.677096561,7.820439515,1.078409581,-0.84397007,2.76000994,-4.605170186,2.17702187,1.835776355,6.008813185,1.605429891,2.694627181,3.465735903,3.317815773,4.446174454,3.605497845,3.658420247
BGWD,4.359269648,-0.385662481,2.351375257,-1.30933332,-0.430782916,3.575150689,3.602776755,-1.771956842,-1.386294361,1.613429934,7.845024417,1.088561953,-0.84397007,2.681021529,-4.605170186,2.065596135,1.147402453,5.953243334,1.483874689,2.687847494,3.377587516,3.328626689,4.123903364,3.370738174,3.552486829
12PB,5.59471138,0.58221562,-0.051293294,-1.560647748,-1.966112856,6.095824562,2.009555414,0.620576488,0.139761942,4.312140507,5.676753802,3.058707073,-0.094310679,3.091042453,-2.207274913,-0.162518929,4.010962953,4.753590191,2.312535424,0.553885113,1.01523068,1.662030363,3.925925911,-0.328504067,2.32238772
12PC,4.33073334,0.425267735,0.31481074,1.131402111,-1.347073648,3.072693315,0.067658648,-0.385662481,2.451005098,3.446807893,6.142037406,1.599387577,0.300104592,3.335769576,0.113328685,2.065596135,2.944438979,4.615120517,1.211940974,0.378436436,1.652497402,1.545432582,3.068052935,-0.162518929,1.965712776
12PA,5.780743516,1.211940974,0,-0.776528789,-2.659260037,5.010635294,0.792992516,0.920282753,0.565313809,4.424846632,5.707110265,2.980618636,0.598836501,2.312535424,-2.120263536,0,4.565389316,5.888877958,1.908059925,0.536493371,1.085189268,1.291983682,2.753660712,-0.755022584,2.76000994
15P,4.691347882,0.959350221,-1.139434283,0.652325186,-2.120263536,3.768152635,-0.223143551,-0.494296322,2.227861547,2.397895273,3.903990834,2.187174241,-0.105360516,0.31481074,-0.46203546,1.064710737,2.433613355,4.279440046,3.314186005,0.122217633,-0.127833372,1.08180517,3.157000421,0.657520003,1.745715531
19P,3.608211551,2.791165108,-0.478035801,2.493205453,0.104360015,3.269568939,-0.798507696,-1.660731207,2.029463172,2.312535424,4.032469159,2.63905733,-0.510825624,0.636576829,-0.342490309,-0.562118918,2.459588842,3.744787086,3.605497845,0.157003749,-0.385662481,1.528227857,2.197224577,-0.235722334,1.574846468
4PB,4.062165664,4.355425953,-0.94160854,2.351375257,1.247032294,3.735285827,0.262364264,-0.776528789,3.42751469,1.776645831,3.577947893,2.00148,-0.15082289,0.751416089,1.166270937,-0.494296322,3.0301337,5.198497031,5.631211782,0.277631737,-0.653926467,2.000127735,3.893859035,-0.430782916,1.642872689
4PA,3.867025639,2.332143895,0.350656872,1.324418957,0.548121409,3.440418095,-0.820980552,-0.755022584,2.295560478,2.081938422,4.085976313,0.966983846,-0.15082289,1.717395054,-0.287682072,-0.248461359,2.63905733,3.681351188,3.822098298,-0.301105093,-0.174353387,1.261297871,2.791165108,0.783901544,1.691939134
5S,5.192956851,0.576613364,0.737164066,-3.506557897,-4.605170186,6.315358002,0.19062036,-1.108662625,0.231111721,3.165475048,5.771441123,3.33220451,1.437462648,3.280911216,-1.714798428,-0.314710745,1.791759469,5.541263545,3.277144733,0.678033543,1.556037136,1.205970807,3.025291076,0.703097511,3.100092289
