year,cpi
2005,0.03392747
2006,0.03225944
2007,0.02852673
2008,0.038391
2009,-0.003555463
2010,0.01640043
2011,0.03156842
2012,0.02069337
2013,0.01464833
2014,0.01622223
2015,0.001186271
